ID,Titulo,Artista,Album,Genero,Año,Letra,Audio_Path
35,LUST.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,2017-04-13,"I need some water
Somethin' came over me
Way too hot to simmer down
Might as well overheat
Too close to comfort
As blood rush, my favorite vein
Heartbeat racin' like a junkie's
I just need you to want me
Am I askin' too much?
Let me put the - in
Ooh, I don't want more than that
Girl, I respect the cat
I promise just a touch
Let me put the - in, if it's okay
She said, ""It's okay""
Yeah, I need everybody's motherfuckin' hands up right now
I need everybody's motherf-
Door and his Nike Air Rattles
Rush the fire exit, no time for battles
Well I, I never expected
This that new, new -
Wake up in the mornin', thinkin' 'bout money, kick your feet up
Watch you a comedy, take a -, then, roll some - up
Go hit you a lick, go f- on a -
Don't go to work today, cop you a fit
Or maybe some kicks and make you
Door and his Nike Air Rattles
Rush the fire exit, no time for battles
Well I, I never expected
Wake up in the mornin', thinkin' 'bout money, kick your feet up
Watch you a comedy (hol' up!)
Wake up in the mornin', thinkin' 'bout money, kick your feet up
Watch you a comedy, take a -, then, roll some - up
Go hit you a lick, go f- on a -, don't go to work today
Cop you a fit or maybe some kicks and make it work today
Hang with your homies, stunt on your baby mama
Sip some -, go get a pistol, shoot out the window
Bet, your favorite team, play you some madden
Go to the club or your mama house
Whatever you're doin', just make it count (I need some water)
Wake up in the mornin', thinkin' 'bout money, kick your feet up
Hop in the shower, put on your makeup, lace your weave up
Touch on yourself, call up your -, tell him he ain't -
Credit card scam, get you a visa, make it pay your rent
Hop on the 'gram, flex on the - that be hatin' on you
Pop you a -, call up your -, have 'em waitin' on you
Go to the club, have you some fun, make that - bounce
It's whatever, just make it count
I need some water
Somethin' came over me
Way too hot to simmer down
Might as well overheat
Too close to comfort
As blood rush, my favorite-
Heartbeat racin' like a junkie's
I just need you to want me
Am I askin' too much?
Let me put the - in
Ooh, I don't want more than that
Girl, I respect the cat
I promise just a touch
Let me put the - in, if it's okay
She said, ""It's okay""
I wake in the mornin', my head spinnin' from the last night
Both in the trance, feelings are dead, what a fast life
Manager called, the lobby called, it's 11:30
Did this before, promised myself I'd be a hour early
Room full of clothes, bag full of money, call it loose change
Fumbled my jewelry, a 100k, I lost a new chain
Hop on the bird, hit the next city for another M
Take me a nap and do it again
We all woke up, tryna tune to the daily news
Lookin' for confirmation, hopin' election wasn't true
All of us worried, all of us buried, and our feelings deep
None of us married to his proposal, make us feel cheap
Still and sad, distraught and mad, tell the neighbor 'bout it
Bet, they agree, parade the streets with your voice proudly
Time passin', things change
Revertin' back to our daily programs, stuck in our ways
Lust!
Lately, I feel like I been lustin' over the fame
Lately, we lust on the same routine of shame
Lately, lately, lately, my lust been heightened
(Lately) lately, it's all contradiction
Lately, I'm not here
Lately, I lust over self
Lust turn into fear
Lately, in James four, four says
""Friend of the world is enemy of the Lord""
Brace yourself, lust is all yours
I need some water
Somethin' came over me
Way too high to simmer down
Might as well overheat
Too close to comfort
As blood rush, my favorite vein
Heartbeat racin' like a junkie's
I just need you to want me
Am I askin' too much?
Let me put the - in
Ooh, I don't want more than that
Girl, I respect the cat
I promise just a touch
Let me put the - in, if it's okay
She said, ""It's okay""",audio/09. Kendrick Lamar - LUST..flac
36,Take Your Mask Off,"Tyler, The Creator",CHROMAKOPIA,Hip-Hop/Rap,2024-10-27,"la-la-la-la-la-la-la
Uh
Big guns, big guns, what you got, huh?
Slatt, slatt and pop back at the opps, uh
Gang this, oh, you gang that?
Don't let 'em know that you regret how you became that
A good kid, fine home, mom and dad in the pic'
A little middle-class money, every Christmas legit
Family trips, Ivy-bound, and one day, hit a switch
You ain't wanna be seen as a bitch, cuz
And none them face tats gon' hide the fact that you sad, bruh
You ain't a thug, you was in drama club, you's a actor
But now cuz gettin' validation from the dumb and confused (ayy, Blood)
Now you facin' five to ten 'cause you got somethin' to prove
Let's talk about it
And I hope you find yourself (uh)
And I hope you find yourself (yeah)
And I hope you take your mask off (sad story, yeah)
Preacher man, preacher man, preach
You make these folks think you got somethin' to teach
Like you ain't lyin'
Big bank from them collections, but what you buyin'?
Ain't too fond of them gays, you don't deny it, wait
Since a kid, you knew somethin' was up
Had you thinkin' God would hate you so you covered it up
Gotta hide how you live, what you really enjoy
So got a wife, got a kid, but you be fuckin' them boys
Sick of all the shame, sick of all the pain that's within
Scared of bein' seen, tired of rebukin' a sin
Trade it all to be free and shine bright like the Sun
But you back on that religious shit as soon as you cum
Let's talk about it
And I hope you find yourself (hope you find yourself)
And I hope you find yourself
And I hope you take your mask off (take your mask off)
Big-ass house that's on the Hills (hill)
Big-ass wheels in the garage ('rage, hope you find yourself)
Three cute kids that's in your arms
Your husband just made another mil'
You want your life back and a massage
Tired of bein' at home, personality gone
Body ain't been the same (nah)
Postpartum is long, your identity gone
Mama your first name, your last one got changed
They dream about your nest but you crave flyin' alone, mane (oh)
You would start all over if we keepin' it real
Current life is full but you ain't feelin' fulfilled
Fantasize about the dream you left on the shelf
Can't even get alone time to think of killin' yourself
Let's talk about it
And I hope you find yourself (ah, it's feelin' narrow, hope you find yourself)
And I hope you find yourself
And I hope you take your mask off (oh-oh)
Keep that shit one hundred with you, with self
You don't have to put on no costume
You don't ever have to lie to kick it
Yeah, tool won't stay hard, pain in your chest
Hair fallin' out, won't blame it on the stress
Claim it's new partners, blame it on your ex
Chest claim it's reflex, try to blame it on the cook
Look, boy, keep runnin', you'll be crampin' in your foot
Nervous, then you notice ain't no service on the hook
Paranoid since nineteen, nervous system shook
Better sit the fuck down or that skull gettin' took
That's ten million dollars invested, no justifyin' that
Tryna sell them weird-ass clothes, nobody buyin' that
Sentiment is right, but your audience isn't racked enough
That shit is a failure, my nigga, gon' 'head and pack it up
And put it in the trunk, you talk a lot of shit to not even be number one (no)
Your beats ain't placin', them songs ain't slappin', your raps ain't rankin'
Your stage presence don't even be in they conversation, go home
You ain't gotta hide from the truth
Tell your family why you such a recluse
Tell your spirit why you feelin' it's a wrap in the booth
Dawg, how dare you try to ruin her marriage? (Come on)
Claim you never wore a mask or how you don't get embarrassed
Boy, you selfish as fuck, that's really why you scared of bein' a parent
Boy, that therapy needed, I'd dare you to seek it, but I'll lose a bet
Your respect won't get given 'til we postin' your death
It's clear you wish you got your flowers sent
You eatin' fertilizer to balance shit
Now go and stand in the sun, and use 'em fake tears to water your roots
Take that mask off and tell 'em the truth
Let's talk about it, nigga
And I hope you find yourself
And I hope you find yourself
And I hope you take your mask off","audio/09. Tyler, The Creator - Take Your Mask Off.flac"
37,KLOuFRENS,Bad Bunny,DeBÍ TiRAR MáS FOToS,World,2025-01-04,"¿Cómo diablos vo'a olvidarte
Si ya te vi sin ropa?
Guau, qué obra de arte
Sé que prometí que iba a alejarme
¿Pero cómo quieres que me vaya bien
Si tú no me sacas de lo' close friend'?
Me paso stalkeándote pa ver qué hace'
Enchulao, puede que se me pase
¿Pero cómo quieres que me vaya bien
Si tú no me sacas de lo' close friend'?
Me paso stalkeándote pa ver qué hace'
Enchulao, puede que se me pase
¿Cómo diablo' vo'a olvidarte
Si cuando estoy solo y prendo lo que hago es pensarte?, eh-eh
Mami, me dejaste hipnotizao, colonizao
Otra galla como tú, todavía no he pisao
Ese totito era bello, precioso, cute
Me dejaste enviciao, ey
Pelinegra o blondie, ma, tú ere la baby
Dando vueltas por la SanSe escuchando a Dei V y a Ousi
To lo mío e' tuyo, si quieres te doy la OC
Quiero comerte esos labio' glossy
Oh, sí, mm
Esto no tiene que pasar, no
Pero veo el circulito verde y me vuelvo a ilusionar
Tú eres mala, tú lo haces intencional
Una player profesional
Total, esto no iba a funcionar
Pero te veo y me vuelvo a ilusionar
Tú eres mala, tú lo haces intencional
A tu nombre me lo voy a lesionar
Ta cabrón que pa ti es normal
¿Pero cómo quieres que me vaya bien
Si tú no me sacas de los close friend'?
Mm-mm, mm-mm, mm-mm, mm-mm
Dime qué pasó, mi amor
Que ya no me envías los buenos días por las mañanas
Y en la noche antes de acostarte ya no me llamas
¿Será que ya encontraste
A alguien má' y me cambiaste?
Está cabrón cómo de tu vida ya desaparecí
Qué triste que terminó así, que terminó así, eh
¿Será que a otro ahora le cuentas tu día
Y lo haces reír con los chistes que tú me hacía'?
No tengo stickers nuevos, mami, porque ya tú no me los envía'
Te fuiste cuando más yo te quería, eh
Y ya nadie sabrá lo que tú y yo pudo ser
Qué triste, no conocerás
Esa parte de mí que yo sé que te iba a gustar
Y nadie sabrá lo que tú y yo pudo ser
Qué triste, no conocerás
Esa parte de mí que yo a nadie le suelo mostrar",audio/10. Bad Bunny - KLOuFRENS.flac
38,BOHEMIA,HUMBE,DUEÑO DEL CIELO,Desconocido,2025-12-06,"Give your life for Jesus!
Donations!
Je-
Je-
Jesus! Donations!
-ait
-ait
Je-
Me haces bien.
Quiero tomarte como agua
después de ir a correr.
Quiero sentirme en todo el derecho
de hacer lo que quiera contigo.
Contigo estoy entre el mar y la arena.
Mándame postales con tu olor,
que me hagan recordarte bien.
Algo prohibido,
a palabras contarme qué quieres hacer conmigo.
Hagamos bohemia entre tú y yo.
Ven y con tus manos siénteme,
recorriendo de mi cuello hasta mis pies.
Tú conoces cada ruta de mi cuero,
tú conoces mis deseos.
Hazme una prueba, yo lo puedo hacer,
porque si no lo estudié, lo hago de intuición.
Una bohemia entre tú y yo.
Una bohemia entre tú y yo.
Una bohemia entre tú y yo.
Abre bien tu mente, yo no soy fugaz.
(No)
Nada efímero.
Vivo en miedo a regresar y darme
cuenta de lo que deje por darte.
Mi jardín murió por esperarme,
y yo buscando una señal de vida o de donde estás tú.
Yo te tengo de tattoo y no estás aquí.
Yo te pido cada noche al dormir,
y despierto y no te tengo por aquí.
Tanto tiempo implorando,
no me hagas rogar.
Mándame postales con tu olor,
que me hagan recordarte bien.
Algo prohibido,
A palabras contarme qué quieres hacer conmigo.
Hagamos bohemia entre tú y yo.
Ven y con tus manos siénteme,
recorriendo de mi cuello hasta mis pies.
Tú conoces cada ruta de mi cuerpo,
mis deseos.
Haz tu prueba y yo la pruebo,
Si no es de memoria, me lo sé de corazón.
De intuición, de intuición.
Una bohemia.
Una bohemia,
una bohemia.
Una bohemia.
Una bohemia entre tu y yo.
Una bohemia.
Una bohemia.
Una bohemia.
Una bohemia.
Una bohemia.
Una bohemia.
Una bohemia.",audio/10. HUMBE - BOHEMIA.flac
39,LOVE.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,2017-04-13,"Damn
Love or lust
Damn
All of us
Give me a run for my money
There is nobody, no one to outrun me
(Another world premiere)
So give me a run for my money
Sippin' bubbly, feelin' lovely
Livin' lovely
Just love me
I wanna be with you, ayy (just love me)
I wanna be with (just love me, just love)
I wanna be with you, ayy (love me), I wanna be with
I wanna be with you (love me, just love me)
If I didn't ride blade on curb, would you still (love me)?
If I minimized my net worth, would you still (love me)?
Keep it a hundred, I'd rather you trust me than to (love me)
Keep it a whole one hund', don't got you I got nothin'
Ayy, I got somethin' (I got somethin'), ayy
Hol' up, we gon' function (we gon' function), ayy
No assumptions (no assumptions), ayy
Feelin' like Tyson wit' it (feelin' like Tyson wit' it)
Knock it out twice, I'm wit' it (knock it out twice, I'm wit' it)
Only for the night, I'm kiddin' (only for the night, I'm kiddin')
Only for life, yeah
Only for life, yeah, only for life, let's get it
Hit that shoulder lean
I know what comin' over me
Backstroke oversea
I know what you need
Already on ten, all money come in
All feelin' go out, this feelin' don't drought
This party won't end (love me, love me)
If I didn't ride blade on curb, would you still (love me)?
If I minimized my net worth, would you still (love me)?
Keep it a hundred, I'd rather you trust me than to (love me)
Keep it a whole one hund', don't got you I got nothin' (oh, oh)
Give me a run for my money
There is nobody, no one to outrun me
So give me a run for my money
Sippin' bubbly, feelin' lovely
Livin' lovely
Just love me
I wanna be with you, ayy (just love me)
I wanna be with (just love me, just love)
I wanna be with you, ayy (love me), I wanna be with
I wanna be with you (love me, just love me)
I'm on the way
We ain't got no time to waste
Poppin' your gum on the way (love me)
Am I in the way?
I don't want pressure you none
I want your blessin' today (love me)
Oh, by the way, open the door by the way
Told you that I'm on the way (love me)
I'm on the way, I know connection is vague
Pick up the phone for me, babe (love me)
Dammit, we jammin'
Bad attitude from your nanny
Curves and your hips from yo' mammy
Remember Gardena? I took the studio camera
I know Top will be mad at me
I had to do it, I want your body, your music
I bought the big one to prove it
Look what you made
Told you that I'm on the way
I'm like an exit away, yep
If I didn't ride blade on curb, would you still (love me)?
If I minimized my net worth, would you still (love me)?
Keep it a hundred, I'd rather you trust me than to (love me)
Keep it a whole one hund', don't got you I got nothin' (oh, oh)
Give me a run for my money
There is nobody, no one to outrun me
So give me a run for my money
Sippin' bubbly, feelin' lovely
Livin' lovely
Just love me
I wanna be with you, ayy (just love me)
I wanna be with (just love me, just love)
I wanna be with you, ayy (love me), I wanna be with
I wanna be with you (love me, just love me)",audio/10. Kendrick Lamar - LOVE..flac
40,Tomorrow,"Tyler, The Creator",CHROMAKOPIA,Hip-Hop/Rap,2024-10-27,"(Give it up)
Nigga, I'm gettin' old and I need a grandchild, please (Give it up)
Just one, please, all I need is one (Give it— Give it up)
We need a little tiny Tyler lurking around here, okay?
We need a little dookie woodie running around here, okay?

My mother's hands don't look the same
These jet black strands are turning gray
I'm gaining weight, I'd rather rest
The thought of children, it brings me stress
Because time is changing (Ooh)

But don't you wait on me (Ooh, don't), I'll be fine
But don't you wait on me (Ooh, don't), oh, I'll be fine
But don't you wait for me (Ooh, don't)
'Cause time got nothing right (Ooh), don't (Don't), uh

Worry 'bout tomorrow, worry 'bout tomorrow
Can you worry 'bout tomorrow? Ayy, ayy, ayy (Tomorrow)
Worry 'bout tomorrow (Tomorrow), worry 'bout tomorrow, ooh

Yeah, what's gotten into me? Nah that ain't the energy
That version of T that you knew was a memory
Who is that? You niggas get too attached to hear the theory
Face clear, few wrinkles on my spirit (No cap)
Now, cousin', this ain't no tuggin'
I don't like cages, I'd rather be floodin'
Thought this shit out, I pop out with that oven
Tell that new version of me that I'm comin' (Oh my, yeah)
Yeah, my brodie had another baby, that's like number two (Number-two)
My homegirl and I tired, she like thirty-two (Thirty-two)
They sharin' pictures of this moment, shit is really cute
And all I got is photos of my 'Rari and some silly suits (Yeah)
Mhm, but I flip the switch and finally settle down
Mhm, go the other way and keep my panties down
Uh-huh, I'm too paranoid, so I'ma air it out
And any pressure that you're puttin' on me, I'ma tear it down

Don't you wait on me, I'll be fine
Don't you wait on me, I'll be fine
Don't you wait for me, I'll be fine
'Cause time got nothing right","audio/10. Tyler, The Creator - Tomorrow.flac"
41,TURiSTA,Bad Bunny,DeBÍ TiRAR MáS FOToS,World,2025-01-04,"En mi vida fuiste turista
Tú solo viste lo mejor de mí
Y no lo que yo sufría
Te fuiste sin saber el porqué
El porqué de mis herida'
Y no te tocaba a ti curarla'
Viniste a pasarla bien
Y la pasamo' bien
Una foto bonita
Un atardecer hermoso
Una bailaíta'
Tu cadenita de oro
Estuvimo' tan cerquita
Mirándono' a los ojo'
Dime si viste la pena
De mi corazón roto
Que lleva así, lleva así mucho tiempo
Que lleva así, lleva así muchos año'
Escondiéndome los sentimiento'
Tengo miedo que me hagan más daño
Y lleva así, lleva así mucho tiempo
Ya lleva así, lleva así muchos año'
Ey, yo no sé, mi amor
Lo que la vida tendrá
Pa' ti y pa' mí
Si se da, pues, se da
Y si no, pues también
Vamo' a disfrutar, que
La noche se puso bonita
Pero no tanto como tú
Jamás y nunca como tú
En mi vida fuiste turista
Tú solo viste lo mejor de mí
Y no lo que yo sufría
Te fuiste sin saber el porqué
El porqué de mis herida'
Y no te tocaba a ti curarla'
Viniste a pasarla bien
Y la pasamo' bien",audio/11. Bad Bunny - TURiSTA.flac
42,DUEÑO DEL CIELO,HUMBE,DUEÑO DEL CIELO,Desconocido,2025-12-06,"Me llevaste a volar como si fueras dueño del cielo.
Como si supieras lo que estabas haciendo.
Me llevaste a volar como si fueras dueño del cielo.
Como si supieras lo que estabas haciendo.
Seamos honestos:
tú no sabes qué pasé,
y lo qué estaba sintiendo.
Paraste mi tiempo,
soltaste una bomba,
vendaste mis ojos,
contaste hasta cero.
Hicimos confianza,
y ahora solo a ti mi carro te presto.
Un sentimiento:
seguro me siento contigo al volante,
estando en movimiento.
Nos estamos moviendo.
Mmh.
Estamos acelerando como un Kawasaki Ninja.
(Siente la velocidad).
Velocidad.
(Agárrate bien, que te vas).
Que no quiero envenenarme,
no me quiero lastimar,
no me quiero acostumbrar
a pasar mi tiempo contigo,
sabiendo que no soy nadie para ti.
Y si yo me voy,
nada cambiará aquí,
porque yo, aquí,
no soy nadie para ti.
Latidos como tambores;
cuando tú llegas sin avisar.
Cuando me miras, hay reflectores;
cuando jodemos, yo siento colores.
Y es que me caga,
yo solo me pongo en esas situaciones.
Me meto en un lío,
sabiendo que no encontraré soluciones.
Si le doy pa' adelante,
acabaré conmigo antes de que mejore.
(Antes de que mejore).
Mmh
Me llevaste a volar como si fueras dueño del cielo.
Como si supieras lo que estabas haciendo.
Me llevaste a volar como si fueras dueño del cielo.
Como si supieras lo que estabas haciendo.
Me llevaste a volar como si fueras dueño del cielo.
Como si supieras lo que estabas haciendo.
A veces yo quisiera
tener 14 años en Navidad;
cohetes tronar con mi papá,
imaginar.
Imaginarme que nunca iba a acabar,
que la vida era así,
que yo era inmortal.
(I- I- I- I- I- Inmortal)
Y en un mundo tan grande,
tanto que mis pies del banco al piso no llegaban.
Techos altos, daba vértigo mirar.
Y ahora da igual.
¿Cómo te explico? Da igual.
No soy la persona de antes.
Ahora volví a cambiar.
Ahora pude ser yo,
ya logré renacer.
Entonces volví a creer
que el tiempo lo curaba todo.
Y con tiempo, volví a ser él.
Me llevaste a volar como si fueras dueño del cielo.
Como si supieras lo que estabas haciendo.
Me llevaste a volar como si fueras dueño del cielo.
(Me llevaste a volar, me llevaste a volar)
Como si supieras lo que estabas haciendo.
Y si yo me voy,
nada cambiará aquí.
Me llevaste a volar como si fueras dueño del cielo.
Como si supieras lo que estabas haciendo.
Me llevaste a volar como si fueras dueño del cielo.
Como si supieras lo que estabas haciendo.
Me llevaste a volar como si fueras dueño del cielo.
Como si supieras lo que estabas haciendo.
No te lo niego:
desde un inicio que yo te vi,
me siento en mi centro.
Llegué a mi castillo.
Por fin le llueve a este desierto.
Me diste algo para ver.
Quiero decir que contigo estoy bien,
y no me quejo si es contigo
con quien amanezco
para siempre.
.
Para siempre.",audio/11. HUMBE - DUEÑO DEL CIELO.flac
43,XXX.,Kendrick Lamar,DAMN.,Hip-Hop/Rap,2017-04-13,"America, God bless you if it's good to ya
America, please take my hand
Can you help me underst-
New Kung Fu Kenny
Throw a steak off the yacht to a pool full of sharks, he'll take it
Leave him in the wilderness with a sworn nemesis, he'll make it (he'll make it)
Take the gratitude from him, I bet he'll show you something, woah (woah)
I'll chip a n- little bit of nothing
I'll chip a n- little bit of nothing
I'll chip a n- little bit of nothing
I'll chip a n- then throw the - in his lap
Walk myself to the court like, ""B- I did that, "" X-rated
Johnny don't wanna go to school no more, no more
Johnny said books ain't cool no more (no more)
Johnny wanna be a rapper like his big cousin
Johnny caught a body yesterday out hustlin'
God bless America, you know we all love him
Yesterday I got a call, like, from my dawg, like 101
Said they killed his only son because of insufficient funds
He was sobbin', he was mobbin', way belligerent and drunk
Talkin' out his head philosphing on what the lord had done
He said, ""K-Dot, can you pray for me? It's been a f- up day for me
I know that you anointed, show me how to overcome""
He was lookin' for some closure, hopin' I could bring him closer
To the spiritual, my spirit do no better, but I told him
""I can't sugar coat the answer for you, this is how I feel
If somebody kill my son, that mean somebody's gettin' -""
Tell me what you do for love, loyalty, and passion of
All the memories collected, moments you could never touch
I wait in front, a n- spot and watch him hit his block
I'll catch a n- leavin' service if that's all I got
I'll chip a n-, then throw the - in his lap
Walk myself to the court like, ""B-, I did that""
Ain't no Black Power when your baby killed by a coward
I can't even keep the peace, don't you f- with one of ours
It be murder in the street, it be bodies in the hour
Ghetto bird on the street, paramedics on the dial
Let somebody touch my momma, touch my sister, touch my woman
Touch my daddy, touch my niece, touch my nephew, touch my brother
You should chip a n-, then throw the - in his lap
Matter fact, I'm 'bout to speak at this convention, call you back
Alright kids, we're gonna talk about gun control
(Pray for me) damn
It's not a place
This country is to be a sound of drum and bass
You close your eyes to look around
Hail Mary, Jesus and Joseph
The great American flag is wrapped and dragged with explosives
Compulsive disorder, sons and daughters
Barricaded blocks and borders
Look what you taught us
It's murder on my street, your street, backstreets, Wall Street
Corporate offices, banks, employees, and bosses with
Homicidal thoughts, Donald Trump's in office
We lost Barack and promised to never doubt him again
But is America honest, or do we bask in sin?
Pass the gin, I mix it with American blood
Then bash him in, you Crippin' or you married to Blood?
I'll ask again, oops, accident
It's nasty when you set us up then roll the dice, then bet us up
You overnight the big rifles, then tell Fox to be scared of us
Gang members or terrorists, et cetera, et cetera
America's reflections of me, that's what a mirror does
It's not a place
This country is to be a sound of drum and bass
You close your eyes to look ar-",audio/11. Kendrick Lamar - XXX..flac
44,Thought I Was Dead,"Tyler, The Creator",CHROMAKOPIA,Hip-Hop/Rap,2024-10-27,"You don't wanna go to war with a soldier
You don't wanna go to war with a soldier
You don't wanna go to war with a soldier
You don't wanna go to war with a soldier (there's more to life than just - workin', bro)
(They thought I was dead)
Okay, - I've been trapped in a zoo
- got plaques like the crack of a tooth (uh-huh, uh-huh)
I need some space like the back of a coupe
I'm tryna magic wand I'm tryna poof, so (they thought I was dead)
Grab the - (mm), - all the glitz and the glamour (mm)
I want a crib in Atlanta, brodie
Me and my - changin' pampers (mm)
Them - thought I was dead (mm)
Them - thought I was dead (you ain't gon' see me)
You - thought I was dead (-, no way)
You - thought I was dead (I turned to a ghost)
Them - thought I was dead (I'm over this -)
Them - thought I was dead (I'm over this -)
(They thought I was dead, dead)
Them - thought I was dead
Them - thought I was dead
You - thought I was dead
You - thought I was dead
- thought I was dead
Them - thought I was dead
You - thought I was dead
You - thought I was dead
Get love in the hood, but I must leave (yeah)
Boy, I'm way in the hills where they can't see (can't see)
Swear I burned 20 M's, 2018 (yeah)
Like I play for the Bills, goin' OD (they thought I was dead)
- tend to get rich and they act weird (weird)
How you walkin' out the party with your butt pierced? (Come on)
-, I'd rather play golf 'til the check clear (yeah)
- turn 35, now they out here (they thought I was dead)
-, Rolls or the 'Rari? Tryna program
I was really outside with the dope man
Now I really got M's, -, no chance
I don't wanna be seen in your bromance, hm
Packed in, goddamn, that dream
Never seen a - with a - cap game (they thought I was)
If a - think he gon' get blatt-blatt-blatt-blatt me
Them - thought I was dead (yeah)
Them - thought I was dead
These - thought I was dead (they thought that I was dead)
These - thought I was dead (they thought that I was dead)
- thought I was dead (I was dead)
- thought I was dead (whoa, whoa)
You - thought I was dead (dead)
Them - thought I was dead (they thought I was dead)
I don't wanna be found, I don't wanna be down
I don't wanna be found, I don't wanna be down
I don't wanna be found, I don't wanna be down (oh, you know Tyler and his tone)
I don't wanna be found (I'm so sick of these -)
I don't wanna be down (they don't know you, - you)
White boys mocking this - and y'all mad at me?
Y'all can suck my -
Pull up old tweets, pull up old T-shirts
All that, I'll moonwalk over that - (hee-hee)
See, T changed like the 'fit got dirty
I was young man then a - hit 30
I was one mil' then a - hit 30
- you ain't Coco Gauff you can't serve me
Anti-what? Hm, yeah, right
- runnin' they mouth keep it air tight
I'ma crash - out 'til my hair white
I got too much drive I'm a terabyte
I got a big ol' head, I ain't like these -
Uh-uh, don't put me with these -
I don't ""haha and kiki"" with these -
Loiter Squad, baby, I don't be with these -
Same boys with me since back back then
Everything I said I'd do I did (true story)
Talk my -? I sure damn will
You ain't like that -? I's do it again
Five in the morning I be hatin' on -
Ten in the evening I be hatin' on -
Ten years later might've changed my mind
I'm a fake- - - don't kill me
I'm a hypocrite, ain't real, ain't really
I'm a big troll, ha ha, I'm silly (I'm silly)
- you know about being better than them - that you hate?
You ain't good at -, you can't feel me
- your one-trick goat, I'm billy
Shout out papa, he for real (yeah)
Don't test V, he pop for real (don't bother)
Had to call him like stop and chill
Look, I tries to be out the way
I like the farm with the lake
I like some truth in my space
Y'all - friendly and fake
""That's big bro"" how, when y'all met yesterday?
This feel Planet of the Apes
Why am I filled with this hate?
Got freedom in every way
Y'all wanna take what I got
But y'all do not got what it take
I don't wanna be found, you h-
I don't wanna be down, you h-
I don't like comin' around, you h-
I will not knock-knock at your door
Just me that's what I said
Trav, these - is fed
Me? I'm over here
These - thought I was dead","audio/11. Tyler, The Creator - Thought I Was Dead.flac"
45,CAFé CON RON,Bad Bunny,DeBÍ TiRAR MáS FOToS,World,2025-01-04,"Por la mañana café, por la tarde ron
Ya estamo' en la calle, sal de tu balcón
(Por la mañana café, por la tarde ron)
(Ya estamo' en la calle, sal de tu balcón)
De Arecibo hasta Ponce, de Fajardo a Rincón
Es la voz de todo un barrio desde Almirante a Frontón
(Por la mañana café, por la tarde ron)
(Ya estamo' en la calle, sal de tu balcón)
Que lo bailen en Lloren, que lo bailen en Canale'
Hoy voy pa' la carretera con to' mis anormale'
(Por la mañana café, por la tarde ron)
(Ya estamo' en la calle, sal de tu balcón)
Hoy yo no quiero dormir, lo que quiero yo
Es amanecerme y beberme un galón
(Por la mañana café, por la tarde ron)
(Ya estamo' en la ca-)
Brother, yo no sé ni cómo llegué a casa anoche
Clase 'e loquera, y hoy me están tirando de nuevo pa' bajar pa' allá
Pero yo creo que hoy sí que, acho
Pichaera, que no me esperen, por-
El humo empañó el camino y no pude recordar
El camino pa' mi casa, hoy me vuelves a invitar
Yo me iba a quedar tranquilo pero si quiere' vacilar
Sube tú pa' la montaña porque hoy yo me quedo acá
Dile, dile, dile algo
Allá abajo (allá abajo)
Allá abajo (allá abajo)
No se me ha perdido na' (na')
Están arriba en el monte los código' de verdad
(Suban pa' acá pa' que vean)
¿qué?
(Ven subiendo) ey, ey
(Que no le vamo' a bajar)
(Sube tú pa' la montaña, hoy yo me quedo acá)
(¿Qué se hace hoy?, ¿Qué se hace hoy?)
Hoy se bebe
Hoy se bebe
Y nadie nos va a parar
El samurai está en brillo y el combo va a chinchorrear
(Ponle, ponle, ponle, ponle, ponle)
vamo'
(Ven subiendo) dale pa'cá
(Que no le vamo' a bajar) no le vamo' a bajar
(Sube tú pa' la montaña, hoy yo me quedo acá)
Ey, ten cuidao'
Ten cuidao', uy
Cuando te toque bajar
Que no te vaya' por risco
Y te tengamos que buscar
Yo te vo'a decir algo pa' que sepa'
En el monte hoy se rompe
Desde que sale el sol hasta que se esconde
(En el monte hoy se rompe)
Chillando goma, botando humo, dale, ponle
(En el monte hoy se rompe)
Suban pa' acá pa' que sientan el torque
(En el monte hoy se rompe)
Me vo'a dar otra en lo que los muchacho' hacen el corte",audio/12. Bad Bunny - CAFé CON RON.flac
